device | Page | gain[1] | gain[0] | gain(float) | offset[1] | offset[0] | offset(float)
_______|______|_________|_________|_____________|___________|___________|_____________
52     | 0    | 235     | 220     | 123.5       | 128       | 0         | 0 
52     | 1    | 235     | 220     | 123.5       | 128       | 0         | 0 
52     | 2    | 235     | 220     | 123.5       | 128       | 0         | 0 
52     | 3    | 250     | 1       | 256.5       | 128       | 0         | 0 
_______|______|_________|_________|_____________|___________|___________|_____________
53     | 0    | 235     | 220     | 123.5       | 128       | 0         | 0 
53     | 1    | 250     | 1       | 256.5       | 128       | 0         | 0 
53     | 2    | 235     | 220     | 123.5       | 128       | 0         | 0 
53     | 3    | 235     | 220     | 123.5       | 128       | 0         | 0 
_______|______|_________|_________|_____________|___________|___________|_____________
54     | 0    | 235     | 220     | 123.5       | 128       | 0         | 0 
54     | 1    | 235     | 220     | 123.5       | 128       | 0         | 0 
